test_index,cid,description,ground_truth,generated,word_length,word_bucket,token_length,token_bucket,bertzct,bertz_bucket,maccs,valid
0,5354212,"The molecule is a steroid ester that is methyl (17E)-pregna-4,17-dien-21-oate substituted by oxo groups at positions 3 and 11. It is a 3-oxo-Delta(4) steroid, an 11-oxo steroid, a steroid ester and a methyl ester. It derives from a hydride of a pregnane.",C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]\\4([C@H]3CC/C4=C/C(=O)OC)C,CC(=O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@@H]3[C@H]2C=CC4=CC(=O)CC[C@@]4C(=O)C)C)C(=O)OC,42,1-64,85,65-96,745.2412074226377,300-800,,False
1,53239731,The molecule is a branched amino tetrasaccharide consisting of N-acetyl-beta-D-glucosamine having two alpha-L-fucosyl residues at the 3- and 6-positions as well as an N-acetyl-beta-D-glucosaminyl residue at the 4-position. It has a role as a carbohydrate allergen. It is a glucosamine oligosaccharide and an amino tetrasaccharide. It derives from an alpha-L-Fucp-(1->3)-[alpha-L-Fucp-(1->6)]-beta-D-GlcpNAc.,C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)O)NC(=O)C)O[C@H]3[C@H]([C@@H]([C@@H]([C@@H](O3)C)O)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)NC(=O)C)O)O)O,C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)NC(=O)C[C@H]4[C@H]([C@@H]([C@H]([C@@H](O4)CO)O)O)NC(=O)C)O)O)O)O)O,50,1-64,145,129-160,1108.0607673921934,>800,,False
2,49859627,"The molecule is an indolylmethylglucosinolate that is the conjugate base of 4-methoxyglucobrassicin, obtained by deprotonation of the sulfo group. It is a conjugate base of a 4-methoxyglucobrassicin.",COC1=CC=CC2=C1C(=CN2)C/C(=N/OS(=O)(=O)[O-])/S[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,COC1=CC=CC2=C1C(=CN2)C/C(=N/OS(=O)(=O)[O-])/S[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,27,1-64,68,65-96,1038.7067913012343,>800,1.0,True
3,3955,"The molecule is a synthetic piperidine derivative, effective against diarrhoea resulting from gastroenteritis or inflammatory bowel disease. It has a role as a mu-opioid receptor agonist, an antidiarrhoeal drug and an anticoronaviral agent. It is a member of piperidines, a monocarboxylic acid amide, a member of monochlorobenzenes and a tertiary alcohol. It is a conjugate base of a loperamide(1+).",CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,CC1CN(CC1)C(=O)C(CCC2C(=C2)NC(=O)C3=C(C=CC=C3)C(=O)NC4=CC=C(C=C4)O,59,1-64,111,97-128,1036.6330554260712,>800,,False
4,440649,"The molecule is a 1,3-thiazolium cation that is 1,3-thiazol-3-ium substituted by a methyl group at position 4, a (4-amino-2-methylpyrimidin-5-yl)methyl group at position 3, a 3-carboxy-1-hydroxypropyl at position 2 and a 2-{[hydroxy(phosphonooxy)phosphoryl]oxy}ethyl group at position 5. It has a role as a human metabolite and a mouse metabolite.",CC1=C(SC(=[N+]1CC2=CN=C(N=C2N)C)C(CCC(=O)O)O)CCOP(=O)(O)OP(=O)(O)O,CC1=C(C(=N1)CC(=O)O)CC(=O)O)C(CO,47,1-64,121,97-128,1105.1934584781477,>800,,False
5,5780,"The molecule is the D-enantiomer of glucitol (also known as D-sorbitol). It has a role as a sweetening agent, a laxative, a metabolite, a cathartic, a human metabolite, a food humectant, a Saccharomyces cerevisiae metabolite, an Escherichia coli metabolite and a mouse metabolite. It is an enantiomer of a L-glucitol.",C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,C([C@H]([C@@H]([C@H]([C@@H](CO)O)O)O)O)O,50,1-64,97,97-128,104.6059378176129,100-300,1.0,True
6,52929771,The molecule is a 1-(alk-1-enyl)-sn-glycero-3-phosphate in which the alkenyl group is specified as 1Z-octadecenyl. It is a conjugate acid of a 1-(1Z-octadecenyl)-sn-glycero-3-phosphate(2-).,CCCCCCCCCCCCCCCC/C=C\\OC[C@H](COP(=O)(O)O)O,CCCCCCCCCCCCCCCC/C=C\\OC[C@H](COP(=O)(O)O)O,22,1-64,80,65-96,396.35704599147437,300-800,1.0,True
7,56955923,The molecule is the organoarsonic acid anion formed by loss of a single proton from the arsonic acid grouping in phenylarsonic acid. It is a conjugate base of a phenylarsonic acid.,C1=CC=C(C=C1)[As](=O)(O)[O-],C1=CC=C(C=C1)[As](C(=O)O)[O-],31,1-64,49,1-64,250.95525572342748,100-300,0.6363636363636364,True
8,69527,The molecule is an acyclic carboxylic anhydride resulting from the formal condensation of the carboxy groups of two molecules of dodecanoic acid. It derives from a dodecanoic acid.,CCCCCCCCCCCC(=O)OC(=O)CCCCCCCCCCC,CCCCCCCCCCCC(=O)OCC,28,1-64,49,1-64,306.51798691660036,300-800,0.782608695652174,True
9,86289485,The molecule is a member of the class of naphthoates that is 1-naphthoate substituted at positions 3 and 5 by hydroxy and methyl groups respectively; major species at pH 7.3. It has a role as a bacterial metabolite. It is a conjugate base of a 3-hydroxy-5-methyl-1-naphthoic acid.,CC1=C2C=C(C=C(C2=CC=C1)C(=O)O)[O-],CC1=C2C=C(C=C(C2=CC=C1)C(=O)O)[O-],47,1-64,84,65-96,543.8036834553262,300-800,1.0,True
